GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Signing,com.auth.Signing.Project_Login.Config,SecurityConfiguration.new AuthenticationFailureHandler() {...},5,6,0,0,1,1,1,1,1,1
Signing,com.auth.Signing.Project_Login.Config,SecurityConfiguration.new AuthenticationSuccessHandler() {...},21,6,0,0,8,1,1,1,1,1
Signing,com.auth.Signing.Project_Login.Config,SecurityConfiguration,0,171,0,0,0,38,0,6,0,6
Signing,com.auth.Signing.Project_Login.LController,LoginController,17,23,0,0,6,7,2,3,2,3
Signing,com.auth.Signing.Exceptions,SocialDetailsInaccessible,109,12,22,0,2,5,18,2,7,2
Signing,com.auth.Signing.Exceptions,DuplicateEmailIdException,109,15,22,0,2,6,18,3,7,3
Signing,com.auth.Signing.Exceptions,InvalidCredentialsException,112,12,22,0,3,5,19,2,8,2
Signing,com.auth.Signing.Exceptions,WrongOtpException,72,6,14,0,2,1,13,1,6,1
Signing,com.auth.Signing.Exceptions,InvalidSearchFormatException,112,12,22,0,3,5,19,2,8,2
Signing,com.auth.Signing.BillingPackage.portaldb.service,CompanyService,6,21,0,0,2,5,1,4,1,4
Signing,com.auth.Signing.BillingPackage.portaldb.service,MobileService,6,21,0,0,2,5,1,4,1,4
Signing,com.auth.Signing.BillingPackage.portaldb.service,InvoiceService,5,318,1,9,1,75,1,9,0,5
Signing,com.auth.Signing.BillingPackage.portaldb.service,BroadbandService,6,26,0,0,2,6,1,4,1,4
Signing,com.auth.Signing,SigningApplication,5,3,0,0,2,1,1,1,1,1
Signing,com.auth.Signing.Project_Login.entity,otpVerif,98,17,22,0,0,3,15,5,4,5
Signing,com.auth.Signing.Project_Login.entity,Provider,0,34,0,0,0,4,0,1,0,1
Signing,com.auth.Signing.Project_Login.entity,UserLogin,92,23,22,0,0,3,14,6,3,6
Signing,com.auth.Signing.Project_Login.entity,User,281,52,60,0,1,9,36,15,6,15
Signing,com.auth.Signing.BillingPackage.portaldb.entity,SearchContent,65,10,14,0,0,2,11,3,4,3
Signing,com.auth.Signing.BillingPackage.portaldb.entity,Mobile,218,52,40,0,1,8,26,15,6,15
Signing,com.auth.Signing.BillingPackage.portaldb.entity,Broadband,195,29,36,0,4,3,27,8,9,8
Signing,com.auth.Signing.BillingPackage.portaldb.entity,Company,194,82,36,0,0,10,22,19,4,19
Signing,com.auth.Signing.BillingPackage.portaldb.entity,Invoice,347,118,56,0,0,14,32,27,4,27
Signing,com.auth.Signing.BillingPackage.portaldb.controller,MainController,0,38,0,0,0,11,0,5,0,5
Signing,com.auth.Signing.BillingPackage.portaldb.controller,SearchController,18,57,1,1,3,15,1,6,0,6
Signing,com.auth.Signing.advice,MyControllerAdvice,60,9,0,0,10,2,10,2,10,2
Signing,com.auth.Signing.Project_Login.LoginServices,OauthService,66,10,6,0,14,2,4,3,1,3
Signing,com.auth.Signing.Project_Login.LoginServices,CustomOAuth2Service,12,3,0,0,2,1,1,1,1,1
Signing,com.auth.Signing.Project_Login.LoginServices,ControllerServicesImpl,121,123,7,3,25,35,7,4,2,4
Signing,com.auth.Signing.Project_Login.LoginServices,CustomOath2User,32,0,0,0,9,0,6,0,6,0
Signing,com.auth.Signing.Project_Login.LoginServices,myUserDetails,0,34,0,0,0,11,0,9,0,9
Signing,com.auth.Signing.Project_Login.LoginServices,myUserDetailsService,5,27,0,0,0,6,1,2,1,2
